Идентификационный ключ инцидента операционного риска,Идентификатор события,Статус события,Признак авторегистрации инцидента,Кем выявлено событие,Название источника,Тип источника инцидента (уровень 1),Тип источника инцидента (уровень 2),Тип события – уровень 1,Тип события – уровень 2,Дата обнаружения (Событие),Дата начала инцидента операционного риска,Дата ввода (Событие),Дата первого подтверждения,Дата последнего подтверждения,Идентификатор профиля риска,Наименование профиля риска,Тип клиента,Количество ошибок,Номер заявки,Номер договора,Идентификатор договора,Предварительное описание,Подробное описание,Идентификатор оргструктуры,Орг. структура – уровень 2 (Терр. структура / Департамент ДЗО),Орг. структура – уровень 3 (Блок / ТБ / ПЦП),Орг. структура – уровень 4 (Дивизион / Департамент),Орг. структура – уровень 5,Орг. структура – уровень 6,Орг. структура – уровень 7,Орг. структура – уровень 8,Орг. структура – уровень 9,Орг. структура – уровень 10,Идентификатор функционального блока,Функциональный блок – уровень 2,Функциональный блок – уровень 3,Функциональный блок – уровень 4,Процесс – уровень 1,Процесс – уровень 2,Процесс – уровень 3,Процесс – уровень 4 (Наименование процесса),Клиентский путь – уровень 4,Идентификационный ключ направления деятельности,Направление деятельности банка,Поднаправление деятельности банка,Связь с ИБ-риском,Связь с риском информационных систем,Связь с поведенческим риском,Связь с модельным риском,Общая сумма всех последствий (руб.),Прямая потеря – итого (руб.),Прямая потеря – с кредитным риском (руб.),Прямая потеря – без кредитного риска (руб.),Косвенная потеря – итого (руб.),Косвенная потеря – с кредитным риском (руб.),Косвенная потеря – без кредитного риска (руб.),Нереализовавшаяся потеря – итого (руб.),Нереализовавшаяся потеря – с кредитным риском (руб.),Нереализовавшаяся потеря – без кредитного риска (руб.),Потеря третьих лиц – итого (руб.),Потеря третьих лиц – с кредитным риском (руб.),Потеря третьих лиц – без кредитного риска (руб.),Прибыль – итого (руб.),Прибыль – с кредитным риском (руб.),Прибыль – без кредитного риска (руб.),Возмещение – итого по инциденту (руб.)
2742633453320777405,EVE-5907969,Закрыт,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Технические сбои,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-722603,AGR-353071,AGR-SID-315429,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-5752,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-357,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-491,Розничные банковские услуги,РКО ФЛ,Y,Y,N,Y,1853746.21,1853746.21,,1853746.21,,,,,,,,,,,,,327782.24
4702786729182078996,EVE-5143436,Черновик,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-892609,AGR-425847,AGR-SID-691247,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6914,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-904,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-129,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,3387642.46,3387642.46,,3387642.46,,,,,,,,,,,,,1042767.39
6162656792197303368,EVE-5269059,Черновик,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-972137,AGR-906614,AGR-SID-498458,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3280,ПАО Сбербанк,Среднерусский банк,Отделение,,,,,,,FB-405,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-517,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,Y,4975820.32,4975820.32,,4975820.32,,,,,,,,,,,,,971464.14
1909325958266482492,EVE-5948827,Возмещение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-384004,AGR-947150,AGR-SID-651478,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-8095,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-355,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-356,Розничные банковские услуги,РКО ФЛ,N,N,Y,N,,,,,,,,,,,,,,,,,
4780246840910718467,EVE-5204661,Возмещение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-504570,AGR-510263,AGR-SID-458654,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-5237,ПАО Сбербанк,Среднерусский банк,Отделение,,,,,,,FB-323,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-987,Розничные банковские услуги,РКО ФЛ,N,Y,N,Y,1172275.86,1172275.86,,1172275.86,,,,,,,,,,,,,256405.18
1008610933118405776,EVE-5757380,Исследование,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-829717,AGR-811051,AGR-SID-109196,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-1376,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-160,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-228,Розничные банковские услуги,РКО ФЛ,N,Y,Y,N,254845.28,254845.28,,254845.28,,,,,,,,,,,,,64691.33
2745587017575764454,EVE-5658850,Утверждение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-564581,AGR-366427,AGR-SID-250080,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-2773,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-433,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-710,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,586926.42,586926.42,,586926.42,,,,,,,,,,,,,98923.13
3813109294800977430,EVE-5815403,Черновик,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-284044,AGR-585828,AGR-SID-864828,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-7136,ПАО Сбербанк,Уральский банк,Отделение,,,,,,,FB-772,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-575,Розничные банковские услуги,РКО ФЛ,N,Y,Y,Y,317266.11,317266.11,,317266.11,,,,,,,,,,,,,90734.29
7893892837702303491,EVE-5728390,Утверждение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-823624,AGR-358203,AGR-SID-904470,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6936,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-135,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-684,Розничные банковские услуги,РКО ФЛ,N,N,Y,N,,,,,,,,,,,,,,,,,
6019250306802197573,EVE-5890722,Возмещение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-231149,AGR-289173,AGR-SID-332397,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6591,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-323,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-839,Розничные банковские услуги,РКО ФЛ,N,Y,Y,Y,4765350.02,4765350.02,,4765350.02,,,,,,,,,,,,,1384768.11
